#Release 14.2 - par P.28xd (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Oct 13 22:52:03 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       hdmi2usb_map.ncd
#OUTPUT FILE:      hdmi2usb_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B2,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
B3,pdb<3>,IOB,IO_L4P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
B4,pdb<5>,IOB,IO_L5P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,3.30,,,,
B6,TX0_TMDS<3>,IOBM,IO_L8P_0,OUTPUT,TMDS_33,0,,,,,,LOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,TX0_TMDS<2>,IOBM,IO_L33P_0,OUTPUT,TMDS_33,0,,,,,,LOCATED,NO,NONE,
B9,astb,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,3.30,,,,
B11,,IOBM,IO_L39P_0,UNUSED,,0,,,,,,,,,
B12,,IOBM,IO_L41P_0,UNUSED,,0,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
B15,,,VCCO_0,,,0,,,,,3.30,,,,
B16,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
B17,,,VCCAUX,,,,,,,,3.3,,,,
B18,,,TMS,,,,,,,,,,,,
C1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
C2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
C5,pdb<7>,IOB,IO_L6P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
C6,pdb<2>,IOB,IO_L3N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
C7,TX0_TMDS<1>,IOBM,IO_L10P_0,OUTPUT,TMDS_33,0,,,,,,LOCATED,NO,NONE,
C8,TX0_TMDSB<0>,IOBS,IO_L11N_0,,TMDS_33,0,,,,,,LOCATED,NO,,
C9,sda_lcd,IOB,IO_L34N_GCLK18_0,BIDIR,LVCMOS33,0,12,SLOW,PULLUP,NONE,,LOCATED,NO,NONE,
C10,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
C11,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
C12,,,NC,,,,,,,,,,,,
C13,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
C14,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
C15,pwr,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
C16,,,GND,,,,,,,,,,,,
C17,,IOBM,IO_L29P_A23_M1A13_1,UNUSED,,1,,,,,,,,,
C18,,IOBS,IO_L29N_A22_M1A14_1,UNUSED,,1,,,,,,,,,
D1,,IOBS,IO_L52N_M3A9_3,UNUSED,,3,,,,,,,,,
D2,,IOBM,IO_L52P_M3A8_3,UNUSED,,3,,,,,,,,,
D3,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
D4,LED<5>,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
D5,,,GND,,,,,,,,,,,,
D6,pdb<1>,IOB,IO_L3P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D7,,,VCCO_0,,,0,,,,,3.30,,,,
D8,TX0_TMDS<0>,IOBM,IO_L11P_0,OUTPUT,TMDS_33,0,,,,,,LOCATED,NO,NONE,
D9,scl_lcd,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
D10,,,GND,,,,,,,,,,,,
D11,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
D12,,,NC,,,,,,,,,,,,
D13,,,VCCO_0,,,0,,,,,3.30,,,,
D14,SW<1>,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
D15,,,TDI,,,,,,,,,,,,
D16,,,TDO,,,,,,,,,,,,
D17,,IOBM,IO_L31P_A19_M1CKE_1,UNUSED,,1,,,,,,,,,
D18,,IOBS,IO_L31N_A18_M1A12_1,UNUSED,,1,,,,,,,,,
E1,,IOBS,IO_L50N_M3BA2_3,UNUSED,,3,,,,,,,,,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,,IOBM,IO_L50P_M3WE_3,UNUSED,,3,,,,,,,,,
E4,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
E5,,,VCCAUX,,,,,,,,3.3,,,,
E6,,,NC,,,,,,,,,,,,
E7,,,NC,,,,,,,,,,,,
E8,,,NC,,,,,,,,,,,,
E9,,,VCCAUX,,,,,,,,3.3,,,,
E10,,,VCCO_0,,,0,,,,,3.30,,,,
E11,,,NC,,,,,,,,,,,,
E12,,,NC,,,,,,,,,,,,
E13,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
E14,,,VCCAUX,,,,,,,,3.3,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBM,IO_L33P_A15_M1A10_1,UNUSED,,1,,,,,,,,,
E17,,,VCCO_1,,,1,,,,,3.30,,,,
E18,,IOBS,IO_L33N_A14_M1A4_1,UNUSED,,1,,,,,,,,,
F1,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L48P_M3BA0_3,UNUSED,,3,,,,,,,,,
F3,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
F4,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
F5,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
F6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
F7,,,NC,,,,,,,,,,,,
F8,,,NC,,,,,,,,,,,,
F9,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
F10,,,NC,,,,,,,,,,,,
F11,,,NC,,,,,,,,,,,,
F12,,,NC,,,,,,,,,,,,
F13,pwait,IOB,IO_L63P_SCP7_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F14,,IOBM,IO_L30P_A21_M1RESET_1,UNUSED,,1,,,,,,,,,
F15,,IOBM,IO_L1P_A25_1,UNUSED,,1,,,,,,,,,
F16,,IOBS,IO_L1N_A24_VREF_1,UNUSED,,1,,,,,,,,,
F17,,IOBM,IO_L35P_A11_M1A7_1,UNUSED,,1,,,,,,,,,
F18,,IOBS,IO_L35N_A10_M1A2_1,UNUSED,,1,,,,,,,,,
G1,,IOBS,IO_L46N_M3CLKN_3,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
G5,,,GND,,,,,,,,,,,,
G6,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,NC,,,,,,,,,,,,
G9,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
G10,,,VCCAUX,,,,,,,,3.3,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,,IOBS,IO_L32N_A16_M1A9_1,UNUSED,,1,,,,,,,,,
G14,,IOBS,IO_L30N_A20_M1A11_1,UNUSED,,1,,,,,,,,,
G15,,,VCCO_1,,,1,,,,,3.30,,,,
G16,,IOBM,IO_L38P_A5_M1CLK_1,UNUSED,,1,,,,,,,,,
G17,,,GND,,,,,,,,,,,,
G18,,IOBS,IO_L38N_A4_M1CLKN_1,UNUSED,,1,,,,,,,,,
H1,reX<15>,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,reX<9>,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,reX<2>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,reX<3>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
H6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
H7,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,,IOBM,IO_L32P_A17_M1A8_1,UNUSED,,1,,,,,,,,,
H13,,IOBM,IO_L36P_A9_M1BA0_1,UNUSED,,1,,,,,,,,,
H14,,IOBS,IO_L36N_A8_M1BA1_1,UNUSED,,1,,,,,,,,,
H15,,IOBM,IO_L37P_A7_M1A0_1,UNUSED,,1,,,,,,,,,
H16,,IOBS,IO_L37N_A6_M1A1_1,UNUSED,,1,,,,,,,,,
H17,RX0_TMDS<3>,IOB,IO_L43P_GCLK5_M1DQ4_1,INPUT,TMDS_33,1,,,,NONE,,LOCATED,NO,NONE,
H18,RX0_TMDSB<3>,IOB,IO_L43N_GCLK4_M1DQ5_1,,TMDS_33,1,,,,,,LOCATED,NO,,
J1,reX<13>,IOB,IO_L40N_M3DQ7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,reX<10>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,,,GND,,,,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
J7,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCAUX,,,,,,,,3.3,,,,
J13,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
J14,,,VCCO_1,,,1,,,,,3.30,,,,
J15,,,GND,,,,,,,,,,,,
J16,RX0_TMDS<2>,IOB,IO_L44P_A3_M1DQ6_1,INPUT,TMDS_33,1,,,,NONE,,LOCATED,NO,NONE,
J17,,,VCCO_1,,,1,,,,,3.30,,,,
J18,RX0_TMDSB<2>,IOB,IO_L44N_A2_M1DQ7_1,,TMDS_33,1,,,,,,LOCATED,NO,,
K1,reX<12>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,reX<8>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,reX<6>,IOB,IO_L42N_GCLK24_M3LDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,reX<7>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K5,reX<14>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,reX<4>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,VCCAUX,,,,,,,,3.3,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,IOBM,IO_L34P_A13_M1WE_1,UNUSED,,1,,,,,,,,,
K13,,IOBS,IO_L34N_A12_M1BA2_1,UNUSED,,1,,,,,,,,,
K14,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
K15,,IOBM,IO_L41P_GCLK9_IRDY1_M1RASN_1,UNUSED,,1,,,,,,,,,
K16,,IOBS,IO_L41N_GCLK8_M1CASN_1,UNUSED,,1,,,,,,,,,
K17,RX0_TMDS<0>,IOB,IO_L45P_A1_M1LDQS_1,INPUT,TMDS_33,1,,,,NONE,,LOCATED,NO,NONE,
K18,RX0_TMDSB<0>,IOB,IO_L45N_A0_M1LDQSN_1,,TMDS_33,1,,,,,,LOCATED,NO,,
L1,reY<0>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,reY<1>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L3,reX<11>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,reX<0>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,reX<5>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L6,reY<13>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,reX<1>,IOB,IO_L45P_M3A3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,IOBM,IO_L40P_GCLK11_M1A5_1,UNUSED,,1,,,,,,,,,
L13,,IOBS,IO_L40N_GCLK10_M1A6_1,UNUSED,,1,,,,,,,,,
L14,LED<3>,IOB,IO_L61P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
L15,clk,IOB,IO_L42P_GCLK7_M1UDM_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
L16,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
L17,RX0_TMDS<1>,IOB,IO_L46P_FCS_B_M1DQ2_1,INPUT,TMDS_33,1,,,,NONE,,LOCATED,NO,NONE,
L18,RX0_TMDSB<1>,IOB,IO_L46N_FOE_B_M1DQ3_1,,TMDS_33,1,,,,,,LOCATED,NO,,
M1,reY<2>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,,,GND,,,,,,,,,,,,
M3,reY<3>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,,,VCCO_3,,,3,,,,,2.50,,,,
M5,reY<12>,IOB,IO_L31N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M6,,,GND,,,,,,,,,,,,
M7,,,VCCINT,,,,,,,,1.2,,,,
M8,,IOBM,IO_L40P_2,UNUSED,,2,,,,,,,,,
M9,,,VCCAUX,,,,,,,,3.3,,,,
M10,,IOBM,IO_L22P_2,UNUSED,,2,,,,,,,,,
M11,,IOBM,IO_L15P_2,UNUSED,,2,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,LED<4>,IOB,IO_L61N_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
M14,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
M15,,,VCCO_1,,,1,,,,,3.30,,,,
M16,scl_pc,IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,LVCMOS33,1,,,PULLUP,NONE,,LOCATED,NO,NONE,
M17,,,GND,,,,,,,,,,,,
M18,sda_pc,IOB,IO_L47N_LDC_M1DQ1_1,BIDIR,LVCMOS33,1,12,SLOW,PULLUP,NONE,,LOCATED,NO,NONE,
N1,reY<4>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,reY<5>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
N4,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
N5,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
N6,,IOBM,IO_L47P_2,UNUSED,,2,,,,,,,,,
N7,,IOBM,IO_L44P_2,UNUSED,,2,,,,,,,,,
N8,,IOBS,IO_L40N_2,UNUSED,,2,,,,,,,,,
N9,,IOBS,IO_L22N_2,UNUSED,,2,,,,,,,,,
N10,,IOBM,IO_L20P_2,UNUSED,,2,,,,,,,,,
N11,,IOBS,IO_L15N_2,UNUSED,,2,,,,,,,,,
N12,LED<7>,IOB,IO_L13P_M1_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
N13,,,GND,,,,,,,,,,,,
N14,LED<2>,IOB,IO_L53N_VREF_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
N15,,IOBM,IO_L50P_M1UDQS_1,UNUSED,,1,,,,,,,,,
N16,,IOBS,IO_L50N_M1UDQSN_1,UNUSED,,1,,,,,,,,,
N17,,IOBM,IO_L48P_HDC_M1DQ8_1,UNUSED,,1,,,,,,,,,
N18,,IOBS,IO_L48N_M1DQ9_1,UNUSED,,1,,,,,,,,,
P1,reY<6>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,reY<7>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,reY<15>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,reY<14>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,,,VCCAUX,,,,,,,,3.3,,,,
P6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P7,,IOBS,IO_L47N_2,UNUSED,,2,,,,,,,,,
P8,,IOBS,IO_L44N_2,UNUSED,,2,,,,,,,,,
P9,,,VCCO_2,,,2,,,,,3.30,,,,
P10,,,VCCAUX,,,,,,,,3.3,,,,
P11,,IOBS,IO_L20N_2,UNUSED,,2,,,,,,,,,
P12,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P13,,,CMPCS_B_2,,,,,,,,,,,,
P14,,,VCCAUX,,,,,,,,3.3,,,,
P15,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P16,LED<6>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P17,,IOBM,IO_L49P_M1DQ10_1,UNUSED,,1,,,,,,,,,
P18,,IOBS,IO_L49N_M1DQ11_1,UNUSED,,1,,,,,,,,,
R1,,,GND,,,,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
R4,,,GND,,,,,,,,,,,,
R5,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
R6,,,VCCO_2,,,2,,,,,3.30,,,,
R7,,IOBM,IO_L46P_2,UNUSED,,2,,,,,,,,,
R8,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
R9,,,GND,,,,,,,,,,,,
R10,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
R11,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
R12,,,VCCO_2,,,2,,,,,3.30,,,,
R13,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
R14,,,GND,,,,,,,,,,,,
R15,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
R16,,,SUSPEND,,,,,,,,,,,,
R17,,,VCCO_1,,,1,,,,,3.30,,,,
R18,,,GND,,,,,,,,,,,,
T1,reY<8>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,reY<9>,IOB,IO_L33P_M3DQ12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T3,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
T4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
T5,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
T6,,IOBM,IO_L45P_2,UNUSED,,2,,,,,,,,,
T7,,IOBS,IO_L46N_2,UNUSED,,2,,,,,,,,,
T8,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
T9,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
T10,,IOBS,IO_L29N_GCLK2_2,UNUSED,,2,,,,,,,,,
T11,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
T12,,IOBM,IO_L19P_2,UNUSED,,2,,,,,,,,,
T13,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
T14,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
T15,rst_n,IOB,IO_L1N_M0_CMPMISO_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
T16,,,GND,,,,,,,,,,,,
T17,,IOBM,IO_L51P_M1DQ12_1,UNUSED,,1,,,,,,,,,
T18,,IOBS,IO_L51N_M1DQ13_1,UNUSED,,1,,,,,,,,,
U1,reY<10>,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,reY<11>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
U4,,,VCCO_2,,,2,,,,,3.30,,,,
U5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
U7,,IOBM,IO_L43P_2,UNUSED,,2,,,,,,,,,
U8,,IOBM,IO_L41P_2,UNUSED,,2,,,,,,,,,
U9,,,VCCO_2,,,2,,,,,3.30,,,,
U10,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
U11,,IOBM,IO_L23P_2,UNUSED,,2,,,,,,,,,
U12,,,GND,,,,,,,,,,,,
U13,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
U14,,,VCCO_2,,,2,,,,,3.30,,,,
U15,,IOBM,IO_L5P_2,UNUSED,,2,,,,,,,,,
U16,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
U17,,IOBM,IO_L52P_M1DQ14_1,UNUSED,,1,,,,,,,,,
U18,,IOBS,IO_L52N_M1DQ15_1,UNUSED,,1,,,,,,,,,
V1,,,GND,,,,,,,,,,,,
V2,,,PROGRAM_B_2,,,,,,,,,,,,
V3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
V4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
V5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
V6,,IOBS,IO_L45N_2,UNUSED,,2,,,,,,,,,
V7,,IOBS,IO_L43N_2,UNUSED,,2,,,,,,,,,
V8,,IOBS,IO_L41N_VREF_2,UNUSED,,2,,,,,,,,,
